,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
2473,Shewanella~sp.~phage~1/40,Caudovirales,Myoviridae,Unassigned,83_0,Clustered,2,VC_83_0,2,0.2435,0.95555206,0.2327,1,1,1,1.0
2474,Shewanella~sp.~phage~1/41,Caudovirales,Myoviridae,Unassigned,385_0,Clustered,2,VC_385_0,2,0.0434,0.95047618,0.0413,1,1,1,1.0
2475,Shewanella~sp.~phage~1/44,Caudovirales,Siphoviridae,Unassigned,691_0,Clustered,2,VC_691_0,2,0.4278,0.85557782,0.366,1,1,1,1.0
2476,Shigella~phage~Ag3,Caudovirales,Ackermannviridae,Ag3virus,65_1,Clustered,19,VC_65_1,19,0.4194,1.0,0.4194,5,1,1,0.8772
2477,Shigella~phage~EP23,Caudovirales,Siphoviridae,Hk578virus,160_0,Clustered,10,VC_160_0,10,0.477,1.0,0.477,1,1,1,1.0
2478,Shigella~phage~SHBML-50-1,Caudovirales,Myoviridae,T4virus,59_10,Clustered,27,VC_59_10,27,0.1728,1.0,0.1728,1,1,1,1.0
2479,Shigella~phage~SHFML-11,Caudovirales,Myoviridae,T4virus,59_10,Clustered,27,VC_59_10,27,0.1728,1.0,0.1728,1,1,1,1.0
2480,Shigella~phage~SHFML-26,Caudovirales,Myoviridae,T4virus,59_10,Clustered,27,VC_59_10,27,0.1728,1.0,0.1728,1,1,1,1.0
2481,Shigella~phage~SHSML-45,Caudovirales,Siphoviridae,T5virus,492_0,Clustered,14,VC_492_0,14,0.8216,1.0,0.8216,1,1,1,1.0
2482,Shigella~phage~SHSML-52-1,Caudovirales,Myoviridae,Rb69virus,59_9,Clustered,6,VC_59_9,6,0.0292,0.99999981,0.0292,1,1,1,1.0
2483,Shigella~phage~SP18,Caudovirales,Myoviridae,Sp18virus,59_8,Clustered,5,VC_59_8,5,0.0235,0.99998364,0.0235,1,1,1,1.0
2484,Shigella~phage~SfII,Caudovirales,Myoviridae,Unassigned,125_0,Clustered,6,VC_125_0,6,0.4962,1.0,0.4962,1,1,1,1.0
2485,Shigella~phage~SfIV,Caudovirales,Myoviridae,Unassigned,125_0,Clustered,6,VC_125_0,6,0.4962,1.0,0.4962,1,1,1,1.0
2486,Shigella~phage~SfMu,Caudovirales,Myoviridae,Muvirus,558_0,Clustered,4,VC_558_0,4,0.5136,0.999981,0.5136,2,2,2,1.0
2487,Shigella~phage~Shf125875,Caudovirales,Myoviridae,Rb69virus,59_9,Clustered,6,VC_59_9,6,0.0292,0.99999981,0.0292,1,1,1,1.0
2488,Shigella~phage~Shfl2,Caudovirales,Myoviridae,T4virus,59_10,Clustered,27,VC_59_10,27,0.1728,1.0,0.1728,1,1,1,1.0
2489,Shigella~phage~pSb-1,Caudovirales,Podoviridae,G7cvirus,6_2,Clustered,13,VC_6_2,13,0.3979,1.0,0.3979,4,2,2,1.0
2490,Shigella~phage~pSf-1,Caudovirales,Siphoviridae,Unassigned,297_0,Clustered,25,VC_297_0,25,0.7743,1.0,0.7743,6,1,1,0.9567
2491,Shigella~phage~pSf-2,Caudovirales,Siphoviridae,T1virus,297_0,Clustered,25,VC_297_0,25,0.7743,1.0,0.7743,6,1,1,0.9567
2492,Shigella~phage~pSs-1,Caudovirales,Myoviridae,T4virus,59_10,Clustered,27,VC_59_10,27,0.1728,1.0,0.1728,1,1,1,1.0
2493,Shigella~virus~Shfl1,Caudovirales,Siphoviridae,T1virus,297_0,Clustered,25,VC_297_0,25,0.7743,1.0,0.7743,6,1,1,0.9567
2494,Sinorhizobium~phage~phiM12,Caudovirales,Myoviridae,M12virus,62_0,Clustered,2,VC_62_0,2,0.0262,0.95757406,0.0251,1,1,1,1.0
2495,Sinorhizobium~phage~phiM9,Caudovirales,Myoviridae,Unassigned,66_0,Clustered,2,VC_66_0,2,0.0316,0.9575763,0.0303,1,1,1,1.0
2496,Sinorhizobium~phage~phiN3,Caudovirales,Myoviridae,M12virus,62_0,Clustered,2,VC_62_0,2,0.0262,0.95757406,0.0251,1,1,1,1.0
2497,Sodalis~phage~SO1,Caudovirales,Siphoviridae,Hk578virus,160_0,Clustered,10,VC_160_0,10,0.477,1.0,0.477,1,1,1,1.0
2498,Spiroplasma~phage~1-C74,Unassigned,Inoviridae,Vespertiliovirus,752_0,Clustered,3,VC_752_0,3,1.0,1.0,1.0,1,1,1,1.0
2499,Spiroplasma~phage~1-R8A2B,Unassigned,Inoviridae,Vespertiliovirus,752_0,Clustered,3,VC_752_0,3,1.0,1.0,1.0,1,1,1,1.0
2500,Spiroplasma~virus~SkV1CR23x,Unassigned,Inoviridae,Vespertiliovirus,752_0,Clustered,3,VC_752_0,3,1.0,1.0,1.0,1,1,1,1.0
2501,Staphylococcus~aureus~phage~P68,Caudovirales,Podoviridae,P68virus,208_0,Clustered,8,VC_208_0,8,0.7508,1.0,0.7508,1,1,1,1.0
2502,Staphylococcus~phage~23MRA,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2503,Staphylococcus~phage~3MRA,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2504,Staphylococcus~phage~66,Caudovirales,Podoviridae,P68virus,208_0,Clustered,8,VC_208_0,8,0.7508,1.0,0.7508,1,1,1,1.0
2505,Staphylococcus~phage~6ec,Caudovirales,Siphoviridae,Sextaecvirus,451_0,Clustered,2,VC_451_0,2,0.3064,0.95487746,0.2926,1,1,1,1.0
2506,Staphylococcus~phage~B166,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2507,Staphylococcus~phage~B236,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2508,Staphylococcus~phage~BP39,Caudovirales,Podoviridae,P68virus,208_0,Clustered,8,VC_208_0,8,0.7508,1.0,0.7508,1,1,1,1.0
2509,Staphylococcus~phage~CNPx,Caudovirales,Siphoviridae,Phietavirus,209_0,Clustered,7,VC_209_0,7,0.1267,1.0,0.1267,1,1,1,1.0
2510,Staphylococcus~phage~DW2,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2511,Staphylococcus~phage~GRCS,Caudovirales,Podoviridae,P68virus,208_0,Clustered,8,VC_208_0,8,0.7508,1.0,0.7508,1,1,1,1.0
2512,Staphylococcus~phage~JS01,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2513,Staphylococcus~phage~PVL,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2514,Staphylococcus~phage~ROSA,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2515,Staphylococcus~phage~S24-1,Caudovirales,Podoviridae,P68virus,208_0,Clustered,8,VC_208_0,8,0.7508,1.0,0.7508,1,1,1,1.0
2516,Staphylococcus~phage~SA1,Caudovirales,Myoviridae,Felixo1virus,26_0,Clustered,16,VC_26_0,16,0.8353,1.0,0.8353,3,1,1,1.0
2517,Staphylococcus~phage~SA12,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2518,Staphylococcus~phage~SA13,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2519,Staphylococcus~phage~SA97,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2520,Staphylococcus~phage~SAP-2,Caudovirales,Podoviridae,P68virus,208_0,Clustered,8,VC_208_0,8,0.7508,1.0,0.7508,1,1,1,1.0
2521,Staphylococcus~phage~SLPW,Caudovirales,Podoviridae,P68virus,208_0,Clustered,8,VC_208_0,8,0.7508,1.0,0.7508,1,1,1,1.0
2522,Staphylococcus~phage~SMSAP5,Caudovirales,Siphoviridae,Triavirus,258_0,Clustered,2,VC_258_0,2,0.0328,0.94383349,0.0309,1,1,1,1.0
2523,Staphylococcus~phage~StB12,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2524,Staphylococcus~phage~StauST398-1,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2525,Staphylococcus~phage~StauST398-3,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2526,Staphylococcus~phage~StauST398-4,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2527,Staphylococcus~phage~StauST398-5,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2528,Staphylococcus~phage~TEM123,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2529,Staphylococcus~phage~phi5967PVL,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2530,Staphylococcus~phage~phi7401PVL,Caudovirales,Siphoviridae,Triavirus,258_0,Clustered,2,VC_258_0,2,0.0328,0.94383349,0.0309,1,1,1,1.0
2531,Staphylococcus~phage~phiBU01,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2532,Staphylococcus~phage~phiJB,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2533,Staphylococcus~phage~phiN315,Caudovirales,Siphoviridae,Unassigned,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2534,Staphylococcus~phage~phiNM,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2535,Staphylococcus~phage~phiNM3,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2536,Staphylococcus~phage~phiPVL-CN125,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2537,Staphylococcus~phage~tp310-1,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2538,Staphylococcus~phage~tp310-3,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2539,Staphylococcus~phage~vB_SepS_SEP9,Caudovirales,Siphoviridae,Sextaecvirus,451_0,Clustered,2,VC_451_0,2,0.3064,0.95487746,0.2926,1,1,1,1.0
2540,Staphylococcus~prophage~phiPV83,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2541,Staphylococcus~virus~108PVL,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2542,Staphylococcus~virus~11,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2543,Staphylococcus~virus~13,Caudovirales,Siphoviridae,Biseptimavirus,257_0,Clustered,14,VC_257_0,14,0.2541,1.0,0.2541,2,1,1,0.8132
2544,Staphylococcus~virus~187,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2545,Staphylococcus~virus~29,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2546,Staphylococcus~virus~37,Caudovirales,Siphoviridae,Phietavirus,209_0,Clustered,7,VC_209_0,7,0.1267,1.0,0.1267,1,1,1,1.0
2547,Staphylococcus~virus~44AHJD,Caudovirales,Podoviridae,P68virus,208_0,Clustered,8,VC_208_0,8,0.7508,1.0,0.7508,1,1,1,1.0
2548,Staphylococcus~virus~52a,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2549,Staphylococcus~virus~53,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2550,Staphylococcus~virus~55,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2551,Staphylococcus~virus~69,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2552,Staphylococcus~virus~71,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2553,Staphylococcus~virus~80,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2554,Staphylococcus~virus~80alpha,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2555,Staphylococcus~virus~85,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2556,Staphylococcus~virus~88,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2557,Staphylococcus~virus~92,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2558,Staphylococcus~virus~96,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2559,Staphylococcus~virus~CNPH82,Caudovirales,Siphoviridae,Phietavirus,209_0,Clustered,7,VC_209_0,7,0.1267,1.0,0.1267,1,1,1,1.0
2560,Staphylococcus~virus~EW,Caudovirales,Siphoviridae,Phietavirus,209_0,Clustered,7,VC_209_0,7,0.1267,1.0,0.1267,1,1,1,1.0
2561,Staphylococcus~virus~IPLA5,Caudovirales,Siphoviridae,Phietavirus,209_0,Clustered,7,VC_209_0,7,0.1267,1.0,0.1267,1,1,1,1.0
2562,Staphylococcus~virus~IPLA7,Caudovirales,Siphoviridae,Phietavirus,209_0,Clustered,7,VC_209_0,7,0.1267,1.0,0.1267,1,1,1,1.0
2563,Staphylococcus~virus~IPLA88,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2564,Staphylococcus~virus~PH15,Caudovirales,Siphoviridae,Phietavirus,209_0,Clustered,7,VC_209_0,7,0.1267,1.0,0.1267,1,1,1,1.0
2565,Staphylococcus~virus~SAP26,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2566,Staphylococcus~virus~X2,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2567,Staphylococcus~virus~phiETA,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2568,Staphylococcus~virus~phiETA2,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2569,Staphylococcus~virus~phiETA3,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2570,Staphylococcus~virus~phiMR11,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2571,Staphylococcus~virus~phiMR25,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2572,Staphylococcus~virus~phiNM2,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2573,Staphylococcus~virus~phiNM4,Caudovirales,Siphoviridae,Phietavirus,209_1,Clustered,39,VC_209_1,39,0.6082,1.0,0.6082,1,1,1,0.8812
2574,Stenotrophomonas~phage~IME13,Caudovirales,Myoviridae,Secunda5virus,59_14,Clustered,5,VC_59_14,5,0.0338,0.99999996,0.0338,1,1,1,0.9
2575,Stenotrophomonas~phage~IME15,Caudovirales,Podoviridae,T7virus,57_0,Clustered,62,VC_57_0,62,0.8483,1.0,0.8483,3,2,2,1.0
2576,Stenotrophomonas~phage~PSH1,Unassigned,Inoviridae,Unassigned,753_0,Clustered,4,VC_753_0,4,0.8436,0.91009519,0.7677,1,1,1,1.0
2577,Stenotrophomonas~phage~S1,Caudovirales,Siphoviridae,Unassigned,691_0,Clustered,2,VC_691_0,2,0.4278,0.85557782,0.366,1,1,1,1.0
2578,Stenotrophomonas~phage~SMA7,Unassigned,Inoviridae,Unassigned,753_0,Clustered,4,VC_753_0,4,0.8436,0.91009519,0.7677,1,1,1,1.0
2579,Stenotrophomonas~phage~SMA9,Unassigned,Inoviridae,Unassigned,753_0,Clustered,4,VC_753_0,4,0.8436,0.91009519,0.7677,1,1,1,1.0
2580,Stenotrophomonas~phage~Smp131,Caudovirales,Myoviridae,P2virus,99_0,Clustered,29,VC_99_0,29,0.8448,1.0,0.8448,1,1,1,1.0
2581,Stenotrophomonas~phage~phiSHP2,Unassigned,Inoviridae,Unassigned,753_0,Clustered,4,VC_753_0,4,0.8436,0.91009519,0.7677,1,1,1,1.0
2582,Stenotrophomonas~phage~vB_SmaS-DLP_2,Caudovirales,Siphoviridae,Septima3virus,1_0,Clustered,10,VC_1_0,10,0.7158,1.0,0.7158,3,1,1,1.0
2583,Streptococcus~phage~20617,Caudovirales,Siphoviridae,Sfi11virus,434_0,Clustered,8,VC_434_0,8,0.3979,1.0,0.3979,1,1,1,1.0
2584,Streptococcus~phage~315.1,Caudovirales,Siphoviridae,Unassigned,439_0,Clustered,2,VC_439_0,2,0.1597,0.9542244,0.1524,1,1,1,1.0
2585,Streptococcus~phage~315.6,Caudovirales,Siphoviridae,Unassigned,259_0,Clustered,2,VC_259_0,2,0.1803,0.95614731,0.1723,1,1,1,1.0
2586,Streptococcus~phage~A25,Caudovirales,Siphoviridae,Unassigned,435_0,Clustered,5,VC_435_0,5,0.2989,0.99999995,0.2989,1,1,1,1.0
2587,Streptococcus~phage~DCC1738,Caudovirales,Siphoviridae,Unassigned,586_0,Clustered,10,VC_586_0,10,0.6972,1.0,0.6972,1,1,1,1.0
2588,Streptococcus~phage~Dp-1,Caudovirales,Siphoviridae,Unassigned,679_0,Clustered,3,VC_679_0,3,0.5401,0.91557232,0.4945,1,1,1,1.0
2589,Streptococcus~phage~IC1,Caudovirales,Siphoviridae,Unassigned,586_0,Clustered,10,VC_586_0,10,0.6972,1.0,0.6972,1,1,1,1.0
2590,Streptococcus~phage~K13,Caudovirales,Siphoviridae,Unassigned,586_0,Clustered,10,VC_586_0,10,0.6972,1.0,0.6972,1,1,1,1.0
2591,Streptococcus~phage~MM1,Caudovirales,Siphoviridae,Unassigned,435_0,Clustered,5,VC_435_0,5,0.2989,0.99999995,0.2989,1,1,1,1.0
2592,Streptococcus~phage~P9,Caudovirales,Siphoviridae,Unassigned,259_0,Clustered,2,VC_259_0,2,0.1803,0.95614731,0.1723,1,1,1,1.0
2593,Streptococcus~phage~PH10,Caudovirales,Siphoviridae,Unassigned,441_0,Clustered,4,VC_441_0,4,0.3253,0.9999124,0.3253,1,1,1,1.0
2594,Streptococcus~phage~SPQS1,Caudovirales,Siphoviridae,Sap6virus,680_0,Clustered,4,VC_680_0,4,0.8902,0.99991448,0.8901,1,1,1,1.0
2595,Streptococcus~phage~SpSL1,Caudovirales,Siphoviridae,Unassigned,441_0,Clustered,4,VC_441_0,4,0.3253,0.9999124,0.3253,1,1,1,1.0
2596,Streptococcus~phage~TP-778L,Caudovirales,Siphoviridae,Sfi11virus,434_0,Clustered,8,VC_434_0,8,0.3979,1.0,0.3979,1,1,1,1.0
2597,Streptococcus~phage~TP-J34,Caudovirales,Siphoviridae,Sfi11virus,434_0,Clustered,8,VC_434_0,8,0.3979,1.0,0.3979,1,1,1,1.0
2598,Streptococcus~phage~phi3396,Caudovirales,Siphoviridae,Unassigned,439_0,Clustered,2,VC_439_0,2,0.1597,0.9542244,0.1524,1,1,1,1.0
2599,Streptococcus~phage~phiARI0004,Caudovirales,Siphoviridae,Unassigned,586_0,Clustered,10,VC_586_0,10,0.6972,1.0,0.6972,1,1,1,1.0
2600,Streptococcus~phage~phiARI0031,Caudovirales,Siphoviridae,Unassigned,586_0,Clustered,10,VC_586_0,10,0.6972,1.0,0.6972,1,1,1,1.0
2601,Streptococcus~phage~phiARI0131-1,Caudovirales,Siphoviridae,Unassigned,586_0,Clustered,10,VC_586_0,10,0.6972,1.0,0.6972,1,1,1,1.0
2602,Streptococcus~phage~phiARI0131-2,Caudovirales,Siphoviridae,Unassigned,441_0,Clustered,4,VC_441_0,4,0.3253,0.9999124,0.3253,1,1,1,1.0
2603,Streptococcus~phage~phiARI0460-1,Caudovirales,Siphoviridae,Unassigned,586_0,Clustered,10,VC_586_0,10,0.6972,1.0,0.6972,1,1,1,1.0
2604,Streptococcus~phage~phiARI0462,Caudovirales,Siphoviridae,Unassigned,586_0,Clustered,10,VC_586_0,10,0.6972,1.0,0.6972,1,1,1,1.0
2605,Streptococcus~phage~phiARI0468-1,Caudovirales,Siphoviridae,Unassigned,586_0,Clustered,10,VC_586_0,10,0.6972,1.0,0.6972,1,1,1,1.0
2606,Streptococcus~phage~phiARI0468-2,Caudovirales,Siphoviridae,Unassigned,586_0,Clustered,10,VC_586_0,10,0.6972,1.0,0.6972,1,1,1,1.0
2607,Streptococcus~phage~phiARI0468-4,Caudovirales,Siphoviridae,Unassigned,435_0,Clustered,5,VC_435_0,5,0.2989,0.99999995,0.2989,1,1,1,1.0
2608,Streptococcus~phage~phiARI0923,Caudovirales,Siphoviridae,Unassigned,441_0,Clustered,4,VC_441_0,4,0.3253,0.9999124,0.3253,1,1,1,1.0
2609,Streptococcus~phage~phiBHN167,Caudovirales,Siphoviridae,Unassigned,435_0,Clustered,5,VC_435_0,5,0.2989,0.99999995,0.2989,1,1,1,1.0
2610,Streptococcus~phage~phiNJ2,Caudovirales,Siphoviridae,Unassigned,435_0,Clustered,5,VC_435_0,5,0.2989,0.99999995,0.2989,1,1,1,1.0
2611,Streptococcus~virus~2972,Caudovirales,Siphoviridae,Sfi11virus,434_0,Clustered,8,VC_434_0,8,0.3979,1.0,0.3979,1,1,1,1.0
2612,Streptococcus~virus~858,Caudovirales,Siphoviridae,Sfi11virus,434_0,Clustered,8,VC_434_0,8,0.3979,1.0,0.3979,1,1,1,1.0
2613,Streptococcus~virus~ALQ132,Caudovirales,Siphoviridae,Sfi11virus,434_0,Clustered,8,VC_434_0,8,0.3979,1.0,0.3979,1,1,1,1.0
2614,Streptococcus~virus~C1,Caudovirales,Podoviridae,P68virus,207_0,Clustered,6,VC_207_0,6,0.271,0.99998418,0.271,2,2,2,1.0
2615,Streptococcus~virus~O1205,Caudovirales,Siphoviridae,Sfi11virus,434_0,Clustered,8,VC_434_0,8,0.3979,1.0,0.3979,1,1,1,1.0
2616,Streptococcus~virus~Sfi11,Caudovirales,Siphoviridae,Sfi11virus,434_0,Clustered,8,VC_434_0,8,0.3979,1.0,0.3979,1,1,1,1.0
2617,Streptomyces~phage~Amela,Caudovirales,Siphoviridae,Camvirus,721_0,Clustered,10,VC_721_0,10,0.6055,1.0,0.6055,4,1,1,1.0
2618,Streptomyces~phage~Caliburn,Caudovirales,Siphoviridae,Likavirus,721_0,Clustered,10,VC_721_0,10,0.6055,1.0,0.6055,4,1,1,1.0
2619,Streptomyces~phage~Izzy,Caudovirales,Siphoviridae,Likavirus,721_0,Clustered,10,VC_721_0,10,0.6055,1.0,0.6055,4,1,1,1.0
2620,Streptomyces~phage~Lannister,Caudovirales,Siphoviridae,Likavirus,721_0,Clustered,10,VC_721_0,10,0.6055,1.0,0.6055,4,1,1,1.0
2621,Streptomyces~phage~Lika,Caudovirales,Siphoviridae,Likavirus,721_0,Clustered,10,VC_721_0,10,0.6055,1.0,0.6055,4,1,1,1.0
2622,Streptomyces~phage~Nanodon,Caudovirales,Siphoviridae,Likavirus,721_0,Clustered,10,VC_721_0,10,0.6055,1.0,0.6055,4,1,1,1.0
2623,Streptomyces~phage~R4,Caudovirales,Siphoviridae,R4virus,721_0,Clustered,10,VC_721_0,10,0.6055,1.0,0.6055,4,1,1,1.0
2624,Streptomyces~phage~SF1,Caudovirales,Siphoviridae,Unassigned,487_0,Clustered,3,VC_487_0,3,0.8858,0.98867275,0.8757,1,1,1,1.0
2625,Streptomyces~phage~SF3,Caudovirales,Siphoviridae,Unassigned,487_0,Clustered,3,VC_487_0,3,0.8858,0.98867275,0.8757,1,1,1,1.0
2626,Streptomyces~phage~Sujidade,Caudovirales,Siphoviridae,Likavirus,721_0,Clustered,10,VC_721_0,10,0.6055,1.0,0.6055,4,1,1,1.0
2627,Streptomyces~phage~TP1604,Caudovirales,Siphoviridae,Ydn12virus,739_0,Clustered,3,VC_739_0,3,0.6315,0.99841257,0.6305,1,1,1,1.0
2628,Streptomyces~phage~VWB,Caudovirales,Siphoviridae,Unassigned,487_0,Clustered,3,VC_487_0,3,0.8858,0.98867275,0.8757,1,1,1,1.0
2629,Streptomyces~phage~YDN12,Caudovirales,Siphoviridae,Ydn12virus,739_0,Clustered,3,VC_739_0,3,0.6315,0.99841257,0.6305,1,1,1,1.0
2630,Streptomyces~phage~Zemlya,Caudovirales,Siphoviridae,Likavirus,721_0,Clustered,10,VC_721_0,10,0.6055,1.0,0.6055,4,1,1,1.0
2631,Streptomyces~phage~phiHau3,Caudovirales,Siphoviridae,Unassigned,721_0,Clustered,10,VC_721_0,10,0.6055,1.0,0.6055,4,1,1,1.0
2632,Streptomyces~phage~phiSAJS1,Caudovirales,Siphoviridae,Ydn12virus,739_0,Clustered,3,VC_739_0,3,0.6315,0.99841257,0.6305,1,1,1,1.0
2633,Streptomyces~virus~TG1,Caudovirales,Siphoviridae,Phic31virus,754_0,Clustered,3,VC_754_0,3,0.8988,0.96173875,0.8644,1,1,1,1.0
2634,Streptomyces~virus~phiBT1,Caudovirales,Siphoviridae,Phic31virus,754_0,Clustered,3,VC_754_0,3,0.8988,0.96173875,0.8644,1,1,1,1.0
2635,Streptomyces~virus~phiC31,Caudovirales,Siphoviridae,Phic31virus,754_0,Clustered,3,VC_754_0,3,0.8988,0.96173875,0.8644,1,1,1,1.0
